ID del Cliente,Edad del Cliente,Cartera Por Edad,Años Experiencia,Ingresos Anual,Ingresos Mensual,Tipo de Cliente,Nivel de Educación,Codigo Postal,Miembros Familia,Promedio Gasto TDC,Valor de Hipoteca,Cliente con TDC,Cliente ACCA,Cliente con Cuenta,Cliente con Deposito,Cliente Digital
47,39,Adulto y Familias,14,43000,3583,Banca Personal,Graduado,95014,3,700,153000,No,No,No,No,Si
48,37,Adulto y Familias,12,194000,16166,Clientes Oro,Profesional,91380,4,200,211000,Si,Si,Si,Si,Si
49,56,Adultos Consolidados,26,81000,6750,Clientes Preferencial,Profesional,95747,2,4500,0,Si,No,No,No,No
50,40,Adulto y Familias,16,49000,4083,Banca Personal,No graduado,92373,1,1800,0,Si,No,No,No,No
51,32,Adulto y Familias,8,8000,666,Clientes Básicos,Graduado,92093,4,700,0,No,No,Si,No,Si
52,61,Jubilados y Adultos Mayores,37,131000,10916,Clientes Oro,No graduado,94720,1,2900,0,No,No,No,No,Si
53,30,Cartera Joven,6,72000,6000,Clientes Preferencial,No graduado,94005,1,100,207000,No,No,No,No,No
54,50,Adultos Consolidados,26,190000,15833,Clientes Oro,Profesional,90245,3,2100,240000,No,Si,No,No,Si
55,29,Cartera Joven,5,44000,3666,Banca Personal,Profesional,95819,1,200,0,No,No,No,No,Si
56,41,Adulto y Familias,17,139000,11583,Clientes Oro,No graduado,94022,2,8000,0,No,No,No,No,Si
57,55,Adultos Consolidados,30,29000,2416,Banca Personal,Graduado,94005,3,100,0,No,No,Si,Si,Si
58,56,Adultos Consolidados,31,131000,10916,Clientes Oro,Profesional,95616,2,1200,0,No,Si,No,No,No
59,28,Cartera Joven,2,93000,7750,Clientes Preferencial,No graduado,94065,2,200,0,No,No,No,No,No
60,31,Adulto y Familias,5,188000,15666,Clientes Oro,No graduado,91320,2,4500,455000,No,No,No,No,No
61,49,Adultos Consolidados,24,39000,3250,Banca Personal,Graduado,90404,3,1700,0,No,No,Si,No,Si
62,47,Adultos Consolidados,21,125000,10416,Clientes Oro,No graduado,93407,1,5700,112000,No,No,Si,No,No
63,42,Adulto y Familias,18,22000,1833,Banca Personal,No graduado,90089,1,1000,0,No,No,No,No,No
64,42,Adulto y Familias,17,32000,2666,Banca Personal,Graduado,94523,4,0,0,No,No,No,No,Si
65,47,Adultos Consolidados,23,105000,8750,Clientes Preferencial,No graduado,90024,2,3300,0,No,No,No,No,No
66,59,Adultos Consolidados,35,131000,10916,Clientes Oro,No graduado,91360,1,3800,0,Si,No,No,No,Si
67,62,Jubilados y Adultos Mayores,36,105000,8750,Clientes Preferencial,No graduado,95670,2,2800,336000,No,No,No,No,No
68,53,Adultos Consolidados,23,45000,3750,Banca Personal,Profesional,95123,4,2000,132000,No,No,Si,No,No
69,47,Adultos Consolidados,21,60000,5000,Clientes Preferencial,No graduado,93407,3,2100,0,Si,No,No,No,Si
70,53,Adultos Consolidados,29,20000,1666,Banca Personal,No graduado,90045,4,200,0,No,No,No,No,Si
71,42,Adulto y Familias,18,115000,9583,Clientes Preferencial,No graduado,91335,1,3500,0,Si,No,No,No,No
72,53,Adultos Consolidados,29,69000,5750,Clientes Preferencial,Graduado,93907,4,1000,0,No,No,No,No,Si
73,44,Adulto y Familias,20,130000,10833,Clientes Oro,No graduado,92007,1,5000,0,Si,No,No,No,No
74,41,Adulto y Familias,16,85000,7083,Clientes Preferencial,Profesional,94606,1,4000,0,Si,No,No,No,Si
75,28,Cartera Joven,3,135000,11250,Clientes Oro,No graduado,94611,2,3300,0,Si,No,No,No,No
76,31,Adulto y Familias,7,135000,11250,Clientes Oro,Graduado,94901,4,3800,0,Si,Si,No,Si,Si
77,58,Adultos Consolidados,32,12000,1000,Clientes Básicos,Profesional,91320,3,300,0,No,No,No,No,No
78,46,Adultos Consolidados,20,29000,2416,Banca Personal,Graduado,92220,3,500,0,No,No,No,No,No
79,54,Adultos Consolidados,30,133000,11083,Clientes Oro,Profesional,93305,2,2600,0,No,Si,No,No,No
80,50,Adultos Consolidados,26,19000,1583,Banca Personal,No graduado,94720,2,400,118000,No,No,No,No,Si
81,60,Adultos Consolidados,36,41000,3416,Banca Personal,No graduado,95134,4,1300,174000,Si,No,No,No,Si
82,47,Adultos Consolidados,22,40000,3333,Banca Personal,Graduado,94612,3,2700,0,No,No,No,No,Si
83,41,Adulto y Familias,16,82000,6833,Clientes Preferencial,Profesional,92507,1,4000,0,No,No,No,No,Si
84,33,Adulto y Familias,9,50000,4166,Banca Personal,Graduado,94305,1,2400,0,No,No,No,No,No
85,46,Adultos Consolidados,22,18000,1500,Banca Personal,Profesional,91730,1,900,0,No,No,No,No,Si
86,27,Cartera Joven,2,109000,9083,Clientes Preferencial,Profesional,94005,4,1800,0,No,No,No,No,No
87,40,Adulto y Familias,16,42000,3500,Banca Personal,Graduado,94501,4,2200,126000,No,No,No,No,No
88,48,Adultos Consolidados,22,78000,6500,Clientes Preferencial,No graduado,94305,3,1100,0,No,No,No,No,Si
89,65,Jubilados y Adultos Mayores,41,51000,4250,Banca Personal,No graduado,94117,2,1100,0,No,No,No,No,Si
90,25,Cartera Joven,-1,113000,9416,Clientes Preferencial,Profesional,94303,4,2300,0,Si,No,No,No,No
91,55,Adultos Consolidados,30,118000,9833,Clientes Preferencial,Graduado,90277,4,5600,0,No,Si,No,No,Si
92,35,Adulto y Familias,10,29000,2416,Banca Personal,Profesional,94105,4,1100,0,No,No,No,No,Si
93,43,Adulto y Familias,19,34000,2833,Banca Personal,Graduado,94305,3,600,0,No,No,No,No,No
94,60,Adultos Consolidados,34,64000,5333,Clientes Preferencial,Profesional,94550,2,1700,236000,No,No,Si,No,Si
95,65,Jubilados y Adultos Mayores,39,121000,10083,Clientes Oro,No graduado,92612,1,2000,0,No,No,No,No,No
96,38,Adulto y Familias,12,48000,4000,Banca Personal,Profesional,95617,4,200,0,No,No,No,No,Si
97,41,Adulto y Familias,15,80000,6666,Clientes Preferencial,No graduado,95014,1,5200,0,No,No,No,No,No
98,54,Adultos Consolidados,28,161000,13416,Clientes Oro,No graduado,92121,1,2900,0,No,No,No,No,Si
99,49,Adultos Consolidados,23,94000,7833,Clientes Preferencial,No graduado,92374,1,300,0,No,No,No,No,Si
100,66,Jubilados y Adultos Mayores,41,15000,1250,Banca Personal,Profesional,91711,3,100,0,No,No,No,No,Si
101,48,Adultos Consolidados,23,74000,6166,Clientes Preferencial,No graduado,94080,1,1200,0,No,No,No,No,Si
102,61,Jubilados y Adultos Mayores,36,30000,2500,Banca Personal,Graduado,94608,3,1300,0,No,No,No,No,No
103,53,Adultos Consolidados,23,44000,3666,Banca Personal,Profesional,93555,3,1000,198000,Si,No,No,No,Si
104,43,Adulto y Familias,18,22000,1833,Banca Personal,Graduado,95670,2,300,0,No,No,No,No,Si
105,56,Adultos Consolidados,32,38000,3166,Banca Personal,No graduado,93311,4,1300,166000,Si,No,No,No,Si
106,24,Cartera Joven,0,35000,2916,Banca Personal,Graduado,94704,3,100,0,No,No,Si,No,Si
107,43,Adulto y Familias,17,69000,5750,Clientes Preferencial,No graduado,92717,4,2900,0,Si,No,No,No,Si
108,42,Adulto y Familias,18,43000,3583,Banca Personal,No graduado,92037,1,700,136000,No,No,No,No,No
109,33,Adulto y Familias,7,32000,2666,Banca Personal,Profesional,95136,1,600,166000,No,No,No,No,Si
110,43,Adulto y Familias,17,49000,4083,Banca Personal,No graduado,94542,1,2800,0,No,No,No,No,Si
111,41,Adulto y Familias,14,9000,750,Clientes Básicos,Graduado,91330,3,1000,0,No,No,No,No,No
112,62,Jubilados y Adultos Mayores,38,45000,3750,Banca Personal,Graduado,94143,4,1300,0,No,No,No,No,Si
113,40,Adulto y Familias,15,82000,6833,Clientes Preferencial,No graduado,91775,3,1000,309000,No,No,No,No,No
114,58,Adultos Consolidados,34,92000,7666,Clientes Preferencial,No graduado,92703,2,2800,103000,No,No,No,No,No
115,39,Adulto y Familias,14,39000,3250,Banca Personal,Profesional,92354,3,500,0,No,No,No,No,Si
116,65,Jubilados y Adultos Mayores,40,81000,6750,Clientes Preferencial,Graduado,92024,3,1800,0,No,No,No,No,Si
117,54,Adultos Consolidados,29,35000,2916,Banca Personal,Graduado,92831,1,1500,0,No,No,No,No,Si
118,58,Adultos Consolidados,33,61000,5083,Clientes Preferencial,Profesional,92833,2,2300,193000,No,No,No,No,Si
119,41,Adulto y Familias,16,73000,6083,Clientes Preferencial,No graduado,92647,3,3000,0,No,No,No,No,Si
120,32,Adulto y Familias,7,112000,9333,Clientes Preferencial,No graduado,94304,1,4600,366000,No,No,No,No,No
121,54,Adultos Consolidados,29,12000,1000,Clientes Básicos,Profesional,90057,2,200,0,No,No,No,No,Si
122,52,Adultos Consolidados,26,38000,3166,Banca Personal,Profesional,91711,3,900,0,No,No,No,No,Si
123,58,Adultos Consolidados,32,73000,6083,Clientes Preferencial,Graduado,94523,2,700,0,Si,No,No,No,Si
124,37,Adulto y Familias,13,84000,7000,Clientes Preferencial,Graduado,92130,1,3600,0,No,No,Si,No,No
125,39,Adulto y Familias,15,78000,6500,Clientes Preferencial,No graduado,92121,4,2400,118000,No,No,No,No,Si
126,60,Adultos Consolidados,35,80000,6666,Clientes Preferencial,No graduado,91301,3,500,0,No,No,No,No,Si
127,31,Adulto y Familias,5,115000,9583,Clientes Preferencial,No graduado,92096,2,1300,101000,Si,No,No,No,Si
128,34,Adulto y Familias,8,82000,6833,Clientes Preferencial,Graduado,92646,1,2700,251000,No,No,No,No,Si
129,38,Adulto y Familias,14,74000,6166,Clientes Preferencial,No graduado,92182,2,0,0,No,No,Si,No,Si
130,41,Adulto y Familias,16,70000,5833,Clientes Preferencial,Profesional,92131,3,500,0,Si,No,No,No,No
131,28,Cartera Joven,4,81000,6750,Clientes Preferencial,No graduado,94801,3,1500,276000,No,No,No,No,Si
132,58,Adultos Consolidados,34,149000,12416,Clientes Oro,Graduado,93720,4,7200,0,Si,Si,No,Si,Si
133,31,Adulto y Familias,1,51000,4250,Banca Personal,Profesional,90840,2,1750,0,No,No,No,No,No
134,30,Cartera Joven,4,39000,3250,Banca Personal,Graduado,90245,3,1100,0,No,No,No,No,Si
135,53,Adultos Consolidados,29,98000,8166,Clientes Preferencial,Graduado,95035,3,1800,0,No,No,No,No,No
136,58,Adultos Consolidados,33,45000,3750,Banca Personal,No graduado,93010,4,2100,0,Si,No,No,No,Si
137,59,Adultos Consolidados,32,49000,4083,Banca Personal,Graduado,95035,4,2500,0,No,No,No,No,Si
138,49,Adultos Consolidados,25,128000,10666,Clientes Oro,No graduado,95054,2,400,0,No,No,No,No,No
139,59,Adultos Consolidados,34,42000,3500,Banca Personal,No graduado,94928,3,1500,0,Si,No,Si,Si,No
140,59,Adultos Consolidados,35,18000,1500,Banca Personal,Profesional,93305,1,1200,0,No,No,No,No,Si
141,51,Adultos Consolidados,25,31000,2583,Banca Personal,Profesional,90245,2,400,161000,Si,No,No,No,Si
142,35,Adulto y Familias,11,58000,4833,Banca Personal,No graduado,95831,3,2000,149000,Si,No,No,No,Si
143,33,Adulto y Familias,9,48000,4000,Banca Personal,Profesional,91770,1,2100,0,Si,No,No,No,No
144,25,Cartera Joven,1,54000,4500,Banca Personal,No graduado,94117,4,1600,0,Si,No,No,No,Si
145,49,Adultos Consolidados,23,70000,5833,Clientes Preferencial,Graduado,92093,2,1500,0,No,No,No,No,No
146,59,Adultos Consolidados,35,124000,10333,Clientes Oro,No graduado,90007,1,7400,0,Si,No,No,No,No
147,46,Adultos Consolidados,19,84000,7000,Clientes Preferencial,Graduado,94102,1,2670,0,Si,No,No,No,Si
148,50,Adultos Consolidados,25,83000,6916,Clientes Preferencial,Profesional,94542,4,3600,188000,No,No,No,No,Si
149,52,Adultos Consolidados,28,163000,13583,Clientes Oro,No graduado,91423,2,400,116000,No,No,No,No,Si
150,48,Adultos Consolidados,22,42000,3500,Banca Personal,Graduado,93955,3,2200,0,No,No,No,No,No
151,46,Adultos Consolidados,22,118000,9833,Clientes Preferencial,No graduado,94107,2,7500,0,Si,No,No,Si,Si
152,26,Cartera Joven,0,132000,11000,Clientes Oro,Profesional,92834,3,6500,0,Si,Si,No,No,No
153,57,Adultos Consolidados,32,24000,2000,Banca Personal,No graduado,93117,1,1300,0,Si,No,No,No,Si
154,60,Adultos Consolidados,36,22000,1833,Banca Personal,No graduado,94551,2,1000,0,Si,No,Si,Si,Si
155,54,Adultos Consolidados,29,58000,4833,Banca Personal,Profesional,92612,4,1300,0,No,No,No,No,No
156,24,Cartera Joven,0,60000,5000,Clientes Preferencial,No graduado,94596,4,1600,0,No,No,No,No,Si
157,26,Cartera Joven,0,15000,1250,Banca Personal,No graduado,92131,4,400,0,Si,No,No,No,No
158,41,Adulto y Familias,17,83000,6916,Clientes Preferencial,No graduado,94025,4,2670,0,Si,No,No,No,Si
159,32,Adulto y Familias,6,79000,6583,Clientes Preferencial,Profesional,94720,2,1500,0,Si,No,No,No,Si
160,61,Jubilados y Adultos Mayores,35,41000,3416,Banca Personal,Graduado,94545,4,1700,0,No,No,Si,No,Si
161,29,Cartera Joven,0,134000,11166,Clientes Oro,Profesional,95819,4,6500,0,No,Si,No,No,No
162,61,Jubilados y Adultos Mayores,35,80000,6666,Clientes Preferencial,No graduado,95053,2,2800,0,No,No,No,No,Si
163,38,Adulto y Familias,12,52000,4333,Banca Personal,No graduado,90036,1,2000,0,No,No,No,No,No
164,28,Cartera Joven,4,70000,5833,Clientes Preferencial,No graduado,91125,4,2600,0,No,No,No,No,Si
165,53,Adultos Consolidados,27,92000,7666,Clientes Preferencial,No graduado,95120,2,1100,0,No,No,Si,No,No
166,27,Cartera Joven,1,43000,3583,Banca Personal,No graduado,94706,1,1500,0,No,No,No,No,Si
167,25,Cartera Joven,1,21000,1750,Banca Personal,Graduado,95827,3,1000,0,No,No,No,No,No
168,33,Adulto y Familias,9,23000,1916,Banca Personal,Profesional,94305,3,900,0,Si,No,No,No,Si
169,50,Adultos Consolidados,26,13000,1083,Banca Personal,No graduado,91320,4,1000,0,No,No,No,No,Si
170,27,Cartera Joven,1,112000,9333,Clientes Preferencial,Profesional,90503,4,2100,0,Si,No,No,No,No
171,27,Cartera Joven,1,138000,11500,Clientes Oro,No graduado,90250,2,2000,0,No,No,No,No,Si
172,52,Adultos Consolidados,28,11000,916,Clientes Básicos,No graduado,95817,3,400,0,No,No,Si,No,No
173,38,Adulto y Familias,13,171000,14250,Clientes Oro,No graduado,92717,2,7800,0,No,No,No,No,Si
174,58,Adultos Consolidados,34,42000,3500,Banca Personal,No graduado,90095,4,1500,0,Si,No,No,No,Si
175,42,Adulto y Familias,17,168000,14000,Clientes Oro,Graduado,95503,2,7900,0,No,Si,No,No,Si
176,45,Adulto y Familias,20,85000,7083,Clientes Preferencial,Graduado,91711,4,1100,0,No,No,Si,No,Si
177,52,Adultos Consolidados,25,44000,3666,Banca Personal,Graduado,93111,3,1000,135000,No,No,No,No,Si
178,29,Cartera Joven,3,65000,5416,Clientes Preferencial,Graduado,94132,4,1800,244000,No,No,No,No,No
179,53,Adultos Consolidados,29,24000,2000,Banca Personal,No graduado,95818,4,200,0,Si,No,No,No,Si
180,62,Jubilados y Adultos Mayores,37,11000,916,Clientes Básicos,No graduado,91942,1,100,0,No,No,No,No,Si
181,51,Adultos Consolidados,27,38000,3166,Banca Personal,Profesional,90401,2,1000,164000,No,No,No,No,Si
182,36,Adulto y Familias,12,10000,833,Clientes Básicos,Graduado,93524,4,700,81000,No,No,No,No,No
183,24,Cartera Joven,0,135000,11250,Clientes Oro,No graduado,95133,1,1500,0,No,No,No,No,Si
184,29,Cartera Joven,3,148000,12333,Clientes Oro,No graduado,92173,3,4100,0,No,Si,No,No,Si
185,52,Adultos Consolidados,26,63000,5250,Clientes Preferencial,Graduado,92717,2,1500,0,No,No,Si,No,Si
186,39,Adulto y Familias,14,115000,9583,Clientes Preferencial,Profesional,91320,1,1000,0,No,No,No,No,Si
187,48,Adultos Consolidados,23,45000,3750,Banca Personal,No graduado,95616,1,300,0,Si,No,No,No,Si
188,46,Adultos Consolidados,21,159000,13250,Clientes Oro,Profesional,94305,3,1900,315000,No,Si,No,No,Si
189,64,Jubilados y Adultos Mayores,40,169000,14083,Clientes Oro,No graduado,91320,2,2100,122000,No,No,No,No,Si
190,55,Adultos Consolidados,29,112000,9333,Clientes Preferencial,No graduado,94043,2,1400,0,No,No,No,No,Si
191,60,Adultos Consolidados,36,93000,7750,Clientes Preferencial,No graduado,92521,1,4300,0,No,No,No,No,Si
192,51,Adultos Consolidados,25,29000,2416,Banca Personal,Profesional,90404,1,300,140000,No,No,No,No,No
193,50,Adultos Consolidados,23,85000,7083,Clientes Preferencial,Graduado,92122,1,2670,0,No,No,No,No,Si
194,48,Adultos Consolidados,24,21000,1750,Banca Personal,No graduado,93118,4,600,0,Si,No,No,No,Si
195,53,Adultos Consolidados,29,144000,12000,Clientes Oro,No graduado,92697,2,6800,0,No,No,No,No,Si
196,34,Adulto y Familias,10,13000,1083,Banca Personal,No graduado,94577,4,1000,95000,No,No,Si,No,Si
197,48,Adultos Consolidados,24,165000,13750,Clientes Oro,No graduado,93407,1,5000,0,Si,No,No,No,No
198,55,Adultos Consolidados,31,9000,750,Clientes Básicos,No graduado,91345,4,700,89000,No,No,No,No,Si
199,27,Cartera Joven,3,59000,4916,Banca Personal,No graduado,94123,4,0,90000,No,No,Si,No,Si
200,36,Adulto y Familias,11,158000,13166,Clientes Oro,Profesional,92152,1,5100,0,Si,Si,No,Si,Si
201,32,Adulto y Familias,6,29000,2416,Banca Personal,Profesional,91355,1,1900,0,Si,No,No,No,Si
202,35,Adulto y Familias,9,20000,1666,Banca Personal,Profesional,94609,2,1400,0,Si,No,No,No,Si
203,30,Cartera Joven,3,68000,5666,Clientes Preferencial,Graduado,94306,4,2000,0,No,No,No,No,Si
204,58,Adultos Consolidados,34,65000,5416,Clientes Preferencial,No graduado,95747,4,2200,0,No,No,No,No,Si
205,56,Adultos Consolidados,31,61000,5083,Clientes Preferencial,Graduado,96150,2,1900,105000,No,No,No,No,No
206,38,Adulto y Familias,12,91000,7583,Clientes Preferencial,Graduado,95616,4,1400,100000,Si,No,No,No,No
207,49,Adultos Consolidados,25,31000,2583,Banca Personal,No graduado,91355,1,1000,0,No,No,Si,No,Si
208,34,Adulto y Familias,10,71000,5916,Clientes Preferencial,Graduado,94115,4,100,0,No,No,No,No,No
209,40,Adulto y Familias,16,73000,6083,Clientes Preferencial,No graduado,94110,4,2670,0,Si,No,No,No,Si
210,64,Jubilados y Adultos Mayores,39,172000,14333,Clientes Oro,No graduado,94707,4,3100,282000,Si,Si,No,Si,Si
211,51,Adultos Consolidados,26,20000,1666,Banca Personal,No graduado,92131,2,0,0,No,No,No,No,No
212,44,Adulto y Familias,18,55000,4583,Banca Personal,No graduado,94720,1,200,0,No,No,No,No,No
213,46,Adultos Consolidados,22,69000,5750,Clientes Preferencial,No graduado,91604,2,1700,209000,No,No,No,No,No
214,57,Adultos Consolidados,33,155000,12916,Clientes Oro,No graduado,91326,1,7400,0,No,No,No,No,Si
215,54,Adultos Consolidados,28,94000,7833,Clientes Preferencial,Graduado,90291,1,1900,0,No,No,No,No,No
216,38,Adulto y Familias,14,92000,7666,Clientes Preferencial,No graduado,95818,2,0,249000,Si,No,No,No,Si
217,27,Cartera Joven,3,125000,10416,Clientes Oro,No graduado,95521,2,600,0,No,No,No,No,No
218,39,Adulto y Familias,14,74000,6166,Clientes Preferencial,No graduado,94305,3,3000,0,No,No,No,No,No
219,44,Adulto y Familias,20,72000,6000,Clientes Preferencial,Profesional,92807,3,300,0,No,No,No,No,Si
220,56,Adultos Consolidados,30,61000,5083,Clientes Preferencial,Profesional,94707,1,2200,0,Si,No,No,No,Si
221,32,Adulto y Familias,6,25000,2083,Banca Personal,No graduado,92130,2,300,0,Si,No,No,No,No
222,45,Adulto y Familias,19,83000,6916,Clientes Preferencial,Graduado,95051,2,1700,0,No,No,No,No,Si
223,26,Cartera Joven,2,104000,8666,Clientes Preferencial,No graduado,94306,3,2500,0,No,No,No,No,No
224,55,Adultos Consolidados,25,41000,3416,Banca Personal,Profesional,95014,3,1000,0,No,No,No,No,Si
225,52,Adultos Consolidados,27,58000,4833,Banca Personal,Profesional,94305,4,1800,91000,No,No,No,No,No
226,39,Adulto y Familias,13,93000,7750,Clientes Preferencial,Profesional,94720,1,1500,0,Si,No,No,No,No
227,24,Cartera Joven,-1,39000,3250,Banca Personal,Graduado,94085,2,1700,0,No,No,No,No,No
228,47,Adultos Consolidados,23,148000,12333,Clientes Oro,No graduado,94551,2,7500,0,Si,No,No,Si,Si
229,47,Adultos Consolidados,22,53000,4416,Banca Personal,Profesional,92677,4,1900,98000,Si,No,Si,Si,No
230,48,Adultos Consolidados,24,71000,5916,Clientes Preferencial,No graduado,93117,2,1700,145000,Si,No,No,No,No
231,47,Adultos Consolidados,22,92000,7666,Clientes Preferencial,Graduado,94720,1,2800,0,No,No,No,No,Si
232,35,Adulto y Familias,10,61000,5083,Clientes Preferencial,Profesional,94304,4,2100,0,No,No,No,No,Si
233,46,Adultos Consolidados,19,38000,3166,Banca Personal,Graduado,94122,3,2500,135000,No,No,No,No,No
234,62,Jubilados y Adultos Mayores,37,58000,4833,Banca Personal,No graduado,91320,4,1700,0,No,No,No,No,Si
235,26,Cartera Joven,1,80000,6666,Clientes Preferencial,Graduado,95616,1,800,150000,No,No,No,No,No
236,38,Adulto y Familias,8,71000,5916,Clientes Preferencial,Profesional,94720,4,1800,0,No,No,No,No,Si
237,43,Adulto y Familias,18,89000,7416,Clientes Preferencial,Profesional,93407,3,500,0,Si,No,No,No,Si
238,62,Jubilados y Adultos Mayores,38,83000,6916,Clientes Preferencial,Profesional,92521,1,1800,0,No,No,No,No,Si
239,57,Adultos Consolidados,32,28000,2333,Banca Personal,No graduado,95831,3,200,0,Si,No,No,No,Si
240,28,Cartera Joven,3,52000,4333,Banca Personal,Graduado,94112,4,1700,0,No,No,No,No,No
241,51,Adultos Consolidados,26,70000,5833,Clientes Preferencial,No graduado,90089,1,1200,169000,No,No,No,No,No
242,48,Adultos Consolidados,22,71000,5916,Clientes Preferencial,Profesional,91711,1,1400,0,Si,No,No,No,No
243,41,Adulto y Familias,16,75000,6250,Clientes Preferencial,Profesional,94005,1,3700,280000,No,No,No,No,No
